t,S,I,R
354,259891,1,0
355,259891,1,0
356,259891,1,0
357,259891,1,0
358,259891,1,0
359,259891,1,0
360,259891,1,0
361,259891,1,0
362,259891,1,0
363,259891,1,0
364,259891,1,0
365,259891,1,0
366,259891,1,0
367,259891,1,0
368,259891,1,0
369,259891,1,0
370,259891,1,0
371,259891,1,0
372,259891,1,0
373,259891,1,0
374,259891,1,0
375,259891,1,0
376,259891,1,0
377,259891,1,0
378,259891,1,0
379,259891,1,0
380,259891,1,0
381,259891,1,0
382,259891,1,0
383,259891,1,0
384,259891,1,0
385,259891,1,0
386,259891,1,0
387,259891,1,0
388,259891,1,0
389,259891,1,0
390,259891,1,0
391,259891,1,0
392,259891,1,0
393,259891,1,0
394,259891,1,0
395,259891,1,0
396,259891,1,0
397,259891,1,0
398,259891,1,0
399,259891,1,0
400,259891,1,0
401,259891,1,0
402,259891,1,0
403,259891,1,0
404,259891,1,0
405,259891,1,0
406,259891,1,0
407,259891,1,0
408,259891,1,0
409,259891,1,0
410,259891,1,0
411,259891,1,0
412,259891,1,0
413,259891,1,0
414,259891,1,0
415,259891,1,0
416,259891,1,0
417,259891,1,0
418,259891,1,0
419,259891,1,0
420,259891,1,0
421,259891,1,0
422,259891,1,0
423,259891,1,0
424,259891,1,0
425,259891,1,0
426,259891,1,0
427,259891,1,0
428,259891,1,0
429,259891,1,0
430,259891,1,0
431,259891,1,0
432,259891,1,0
433,259891,1,0
434,259891,1,0
435,259891,1,0
436,259891,1,0
437,259891,1,0
438,259891,1,0
439,259891,1,0
440,259891,1,0
441,259891,1,0
442,259891,1,0
443,259891,1,0
444,259891,1,0
445,259891,1,0
446,259891,1,0
447,259891,1,0
448,259891,1,0
449,259891,1,0
450,259891,1,0
451,259891,1,0
452,259891,1,0
453,259891,1,0
454,259891,1,0
455,259891,1,0
456,259891,1,0
457,259891,1,0
458,259891,1,0
459,259891,1,0
460,259891,1,0
461,259891,1,0
462,259891,1,0
463,259891,1,0
464,259891,1,0
465,259891,1,0
466,259891,1,0
467,259891,1,0
468,259891,1,0
469,259891,1,0
470,259891,1,0
471,259891,1,0
472,259891,1,0
473,259891,1,0
474,259891,1,0
475,259891,1,0
476,259891,1,0
477,259891,1,0
478,259891,1,0
479,259891,1,0
480,259891,1,0
481,259891,1,0
482,259891,1,0
483,259891,1,0
484,259891,1,0
485,259891,1,0
486,259891,1,0
487,259891,1,0
488,259891,1,0
489,259891,1,0
490,259891,1,0
491,259891,1,0
492,259891,1,0
493,259891,1,0
494,259891,1,0
495,259891,1,0
496,259891,1,0
497,259891,1,0
498,259891,1,0
499,259891,1,0
500,259891,1,0
501,259891,1,0
502,259891,1,0
503,259891,1,0
504,259891,1,0
505,259891,1,0
506,259891,1,0
507,259891,1,0
508,259891,1,0
509,259891,1,0
510,259891,1,0
511,259891,1,0
512,259891,1,0
513,259891,1,0
514,259891,1,0
515,259891,1,0
516,259891,1,0
517,259891,1,0
518,259891,1,0
519,259891,1,0
520,259891,1,0
521,259891,1,0
522,259891,1,0
523,259891,1,0
524,259891,1,0
525,259891,1,0
526,259891,1,0
527,259891,1,0
528,259891,1,0
529,259891,1,0
530,259891,1,0
531,259891,1,0
532,259891,1,0
533,259891,1,0
534,259891,1,0
535,259891,1,0
536,259891,1,0
537,259891,1,0
538,259891,1,0
539,259891,1,0
540,259891,1,0
541,259891,1,0
542,259891,1,0
543,259891,1,0
544,259891,1,0
545,259891,1,0
546,259891,1,0
547,259891,1,0
548,259891,1,0
549,259891,1,0
550,259891,1,0
551,259891,1,0
552,259891,1,0
553,259891,1,0
554,259891,1,0
555,259891,1,0
556,259891,1,0
557,259891,1,0
558,259891,1,0
559,259891,1,0
560,259891,1,0
561,259891,1,0
562,259891,1,0
563,259891,1,0
564,259891,1,0
565,259891,1,0
566,259891,1,0
567,259891,1,0
568,259891,1,0
569,259891,1,0
570,259891,1,0
571,259891,1,0
572,259891,1,0
573,259891,1,0
574,259891,1,0
575,259891,1,0
576,259891,1,0
577,259891,1,0
578,259891,1,0
579,259891,1,0
580,259891,1,0
581,259891,1,0
582,259891,1,0
583,259891,1,0
584,259891,1,0
585,259891,1,0
586,259891,1,0
587,259891,1,0
588,259891,1,0
589,259891,1,0
590,259891,1,0
591,259891,1,0
592,259891,1,0
593,259891,1,0
594,259891,1,0
595,259891,1,0
596,259891,1,0
597,259891,1,0
598,259891,1,0
599,259891,1,0
600,259891,1,0
601,259891,1,0
