Country	Year	Animal	SampleOrigin	Pathogen	Species	Nsamples	Compound	Rescom
Czech_Republic	2016	Chicken	Killed_Animal	Salmonella	Infantis	13	CIP	100
Czech_Republic	2016	Chicken	Killed_Animal	Salmonella	Infantis	13	NAL	100
Czech_Republic	2016	Chicken	Killed_Animal	Salmonella	Infantis	13	SMZ	100
Czech_Republic	2016	Chicken	Killed_Animal	Salmonella	Infantis	13	TET	100
Germany	2016	Chicken	Killed_Animal	Salmonella	Infantis	3	CIP	100
Germany	2016	Chicken	Killed_Animal	Salmonella	Infantis	3	NAL	100
Germany	2016	Chicken	Killed_Animal	Salmonella	Infantis	3	SMZ	100
Germany	2016	Chicken	Killed_Animal	Salmonella	Infantis	3	TET	100
Malta	2016	Chicken	Killed_Animal	Salmonella	Infantis	2	CIP	100
Malta	2016	Chicken	Killed_Animal	Salmonella	Infantis	2	NAL	100
Malta	2016	Chicken	Killed_Animal	Salmonella	Infantis	2	SMZ	100
Malta	2016	Chicken	Killed_Animal	Salmonella	Infantis	2	TET	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	Infantis	16	CIP	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	Infantis	16	NAL	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	Infantis	16	SMZ	100
Netherlands	2016	Chicken	Killed_Animal	Salmonella	Infantis	16	TET	100
Poland	2016	Chicken	Killed_Animal	Salmonella	Infantis	10	CIP	100
Poland	2016	Chicken	Killed_Animal	Salmonella	Infantis	10	NAL	100
Poland	2016	Chicken	Killed_Animal	Salmonella	Infantis	10	SMZ	100
Slovakia	2016	Chicken	Killed_Animal	Salmonella	Infantis	44	CIP	100
Slovenia	2016	Chicken	Killed_Animal	Salmonella	Infantis	17	NAL	100
Slovenia	2016	Chicken	Killed_Animal	Salmonella	Infantis	17	SMZ	100
Slovenia	2016	Chicken	Killed_Animal	Salmonella	Infantis	17	TET	100
Belgium	2016	Chicken	Killed_Animal	Salmonella	Infantis	2	FOX	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	Infantis	1	FEP	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	Infantis	1	FOX	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	Infantis	1	CAZ	100
Hungary	2016	Chicken	Killed_Animal	Salmonella	Infantis	1	TEM	100
Total	2016	Chicken	Killed_Animal	Salmonella	Infantis	3	FOX	100
Belgium	2016	Chicken	Meat	Salmonella	Kentucky	1	AMP	100
Belgium	2016	Chicken	Meat	Salmonella	Kentucky	1	CIP	100
Belgium	2016	Chicken	Meat	Salmonella	Kentucky	1	NAL	100
Portugal	2016	Chicken	Meat	Salmonella	Kentucky	2	AMP	100
Portugal	2016	Chicken	Meat	Salmonella	Kentucky	2	CIP	100
Portugal	2016	Chicken	Meat	Salmonella	Kentucky	2	NAL	100
Total	2016	Chicken	Meat	Salmonella	Kentucky	3	AMP	100
Total	2016	Chicken	Meat	Salmonella	Kentucky	3	CIP	100
Total	2016	Chicken	Meat	Salmonella	Kentucky	3	NAL	100
Malta	2016	Chicken	Killed_Animal	Salmonella	Kentucky	5	AMP	100
Malta	2016	Chicken	Killed_Animal	Salmonella	Kentucky	5	CIP	100
Malta	2016	Chicken	Killed_Animal	Salmonella	Kentucky	5	NAL	100
Romania	2016	Chicken	Killed_Animal	Salmonella	Kentucky	11	CIP	100
Romania	2016	Chicken	Killed_Animal	Salmonella	Kentucky	11	NAL	100
Slovakia	2016	Chicken	Killed_Animal	Salmonella	Kentucky	1	AMP	100
Slovakia	2016	Chicken	Killed_Animal	Salmonella	Kentucky	1	CIP	100
Slovakia	2016	Chicken	Killed_Animal	Salmonella	Kentucky	1	NAL	100
Spain	2016	Chicken	Killed_Animal	Salmonella	Kentucky	9	CIP	100
Spain	2016	Chicken	Killed_Animal	Salmonella	Kentucky	9	NAL	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Indiana	5	AMP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Indiana	5	CIP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Indiana	5	NAL	100
Netherlands	2016	Turkey	Meat	Salmonella	Indiana	1	CIP	100
Netherlands	2016	Turkey	Meat	Salmonella	Indiana	1	NAL	100
Netherlands	2016	Turkey	Meat	Salmonella	Indiana	1	TET	100
Slovakia	2016	Turkey	Killed_Animal	Salmonella	NA	2	CIP	100
Slovakia	2016	Turkey	Killed_Animal	Salmonella	NA	2	NAL	100
Spain	2016	Chicken	Killed_Animal	Salmonella	NA	3	FEP	100
Spain	2016	Chicken	Killed_Animal	Salmonella	NA	3	CTX	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Typhimuruium	1	AMP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Typhimuruium	1	CIP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Typhimuruium	1	NAL	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Typhimuruium	1	TET	100
Germany	2016	Turkey	Meat	Salmonella	Typhimuruium	1	GEN	100
Germany	2016	Turkey	Meat	Salmonella	Typhimuruium	1	SMZ	100
Germany	2016	Turkey	Meat	Salmonella	Typhimuruium	1	TET	100
Total	2016	Turkey	Meat	Salmonella	Typhimuruium	2	TET	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Bredeney	2	FEP	100
Spain	2016	Turkey	Killed_Animal	Salmonella	Bredeney	2	CTX	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Kentucky	1	AMP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Kentucky	1	CIP	100
Czech_Republic	2016	Turkey	Meat	Salmonella	Kentucky	1	NAL	100
Portugal	2016	Turkey	Meat	Salmonella	Kentucky	2	AMP	100
Portugal	2016	Turkey	Meat	Salmonella	Kentucky	2	CIP	100
Portugal	2016	Turkey	Meat	Salmonella	Kentucky	2	NAL	100
Total	2016	Turkey	Meat	Salmonella	Kentucky	3	AMP	100
Total	2016	Turkey	Meat	Salmonella	Kentucky	3	CIP	100
Total	2016	Turkey	Meat	Salmonella	Kentucky	3	NAL	100
