t,S,I,R
354,259889,0,0
355,259889,0,0
356,259889,0,0
357,259889,0,0
358,259889,0,0
359,259889,0,0
360,259889,0,0
361,259889,0,0
362,259889,0,0
363,259889,0,0
364,259889,0,0
365,259889,0,0
366,259889,0,0
367,259889,0,0
368,259889,0,0
369,259889,0,0
370,259889,0,0
371,259889,0,0
372,259889,0,0
373,259889,0,0
374,259889,0,0
375,259889,0,0
376,259889,0,0
377,259889,0,0
378,259889,0,0
379,259889,0,0
380,259889,0,0
381,259889,0,0
382,259889,0,0
383,259889,0,0
384,259889,0,0
385,259889,0,0
386,259889,0,0
387,259889,0,0
388,259889,0,0
389,259889,0,0
390,259889,0,0
391,259889,0,0
392,259889,0,0
393,259889,0,0
394,259889,0,0
395,259889,0,0
396,259889,0,0
397,259889,0,0
398,259889,0,0
399,259889,0,0
400,259889,0,0
401,259889,0,0
402,259889,0,0
403,259889,0,0
404,259889,0,0
405,259889,0,0
406,259889,0,0
407,259889,0,0
408,259889,0,0
409,259889,0,0
410,259889,0,0
411,259889,0,0
412,259889,0,0
413,259889,0,0
414,259889,0,0
415,259889,0,0
416,259889,0,0
417,259889,0,0
418,259889,0,0
419,259889,0,0
420,259889,0,0
421,259889,0,0
422,259889,0,0
423,259889,0,0
424,259889,0,0
425,259889,0,0
426,259889,0,0
427,259889,0,0
428,259889,0,0
429,259889,0,0
430,259889,0,0
431,259889,0,0
432,259889,0,0
433,259889,0,0
434,259889,0,0
435,259889,0,0
436,259889,0,0
437,259889,0,0
438,259889,0,0
439,259889,0,0
440,259889,0,0
441,259889,0,0
442,259889,0,0
443,259889,0,0
444,259889,0,0
445,259889,0,0
446,259889,0,0
447,259889,0,0
448,259889,0,0
449,259889,0,0
450,259889,0,0
451,259889,0,0
452,259889,0,0
453,259889,0,0
454,259889,0,0
455,259889,0,0
456,259889,0,0
457,259889,0,0
458,259889,0,0
459,259889,0,0
460,259889,0,0
461,259889,0,0
462,259889,0,0
463,259889,0,0
464,259889,0,0
465,259889,0,0
466,259889,0,0
467,259889,0,0
468,259889,0,0
469,259889,0,0
470,259889,0,0
471,259889,0,0
472,259889,0,0
473,259889,0,0
474,259889,0,0
475,259889,0,0
476,259889,0,0
477,259889,0,0
478,259889,0,0
479,259889,0,0
480,259889,0,0
481,259889,0,0
482,259889,0,0
483,259889,0,0
484,259889,0,0
485,259889,0,0
486,259889,0,0
487,259889,0,0
488,259889,0,0
489,259889,0,0
490,259889,0,0
491,259889,0,0
492,259889,0,0
493,259889,0,0
494,259889,0,0
495,259889,0,0
496,259889,0,0
497,259889,0,0
498,259889,0,0
499,259889,0,0
500,259889,0,0
501,259889,0,0
502,259889,0,0
503,259889,0,0
504,259889,0,0
505,259889,0,0
506,259889,0,0
507,259889,0,0
508,259889,0,0
509,259889,0,0
510,259889,0,0
511,259889,0,0
512,259889,0,0
513,259889,0,0
514,259889,0,0
515,259889,0,0
516,259889,0,0
517,259889,0,0
518,259889,0,0
519,259889,0,0
520,259889,0,0
521,259889,0,0
522,259889,0,0
523,259889,0,0
524,259889,0,0
525,259889,0,0
526,259889,0,0
527,259889,0,0
528,259889,0,0
529,259889,0,0
530,259889,0,0
531,259889,0,0
532,259889,0,0
533,259889,0,0
534,259889,0,0
535,259889,0,0
536,259889,0,0
537,259889,0,0
538,259889,0,0
539,259889,0,0
540,259889,0,0
541,259889,0,0
542,259889,0,0
543,259889,0,0
544,259889,0,0
545,259889,0,0
546,259889,0,0
547,259889,0,0
548,259889,0,0
549,259889,0,0
550,259889,0,0
551,259889,0,0
552,259889,0,0
553,259889,0,0
554,259889,0,0
555,259889,0,0
556,259889,0,0
557,259889,0,0
558,259889,0,0
559,259889,0,0
560,259889,0,0
561,259889,0,0
562,259889,0,0
563,259889,0,0
564,259889,0,0
565,259889,0,0
566,259889,0,0
567,259889,0,0
568,259889,0,0
569,259889,0,0
570,259889,0,0
571,259889,0,0
572,259889,0,0
573,259889,0,0
574,259889,0,0
575,259889,0,0
576,259889,0,0
577,259889,0,0
578,259889,0,0
579,259889,0,0
580,259889,0,0
581,259889,0,0
582,259889,0,0
583,259889,0,0
584,259889,0,0
585,259889,0,0
586,259889,0,0
587,259889,0,0
588,259889,0,0
589,259889,0,0
590,259889,0,0
591,259889,0,0
592,259889,0,0
593,259889,0,0
594,259889,0,0
595,259889,0,0
596,259889,0,0
597,259889,0,0
598,259889,0,0
599,259889,0,0
600,259889,0,0
601,259889,0,0
602,259889,0,0
603,259889,0,0
604,259889,0,0
605,259889,0,0
606,259889,0,0
607,259889,0,0
608,259889,0,0
609,259889,0,0
610,259889,0,0
611,259889,0,0
612,259889,0,0
613,259889,0,0
614,259889,0,0
615,259889,0,0
616,259889,0,0
617,259889,0,0
618,259889,0,0
619,259889,0,0
620,259889,0,0
621,259889,0,0
622,259889,0,0
623,259889,0,0
624,259889,0,0
625,259889,0,0
626,259889,0,0
627,259889,0,0
628,259889,0,0
629,259889,0,0
630,259889,0,0
631,259889,0,0
632,259889,0,0
633,259889,0,0
634,259889,0,0
635,259889,0,0
636,259889,0,0
637,259889,0,0
638,259889,0,0
639,259889,0,0
640,259889,0,0
641,259889,0,0
642,259889,0,0
643,259889,0,0
644,259889,0,0
645,259889,0,0
646,259889,0,0
